Sr.No,Class Name,Line Coverage,Mutation Score,Line Coverage decimal,Mutation Score Decimal
222,ChromosomePair,86,67,0.86,0.67
297,Circle,98,94,0.98,0.94
418,ClassicalRungeKuttaFieldIntegrator,100,100,1,1
419,ClassicalRungeKuttaFieldStepInterpolator,100,80,1,0.8
420,ClassicalRungeKuttaStepInterpolator,100,99,1,0.99
658,ClopperPearsonInterval,100,87,1,0.87
351,Cluster,100,100,1,1
605,Cluster,100,100,1,1
352,Clusterer,100,100,1,1
358,ClusterEvaluator,86,80,0.86,0.8
498,CMAESOptimizer,89,59,0.89,0.59
539,CMAESOptimizer,87,59,0.87,0.59
679,Combinations,93,94,0.93,0.94
680,CombinatoricsUtils,98,76,0.98,0.76
114,Complex,96,91,0.96,0.91
115,ComplexField,88,80,0.88,0.8
116,ComplexFormat,68,61,0.68,0.61
117,ComplexUtils,89,100,0.89,1
681,CompositeFormat,98,88,0.98,0.88
659,ConfidenceInterval,80,45,0.8,0.45
316,ConjugateGradient,90,59,0.9,0.59
19,Constant,83,67,0.83,0.67
132,ConstantRealDistribution,94,83,0.94,0.83
682,ContinuedFraction,74,79,0.74,0.79
386,ContinuousOutputFieldModel,98,60,0.98,0.6
387,ContinuousOutputModel,97,44,0.97,0.44
163,ConvergenceException,100,0,1,0
274,ConvexHull2D,98,97,0.98,0.97
575,CorrelatedRandomVectorGenerator,61,71,0.61,0.71
20,Cos,75,67,0.75,0.67
21,Cosh,75,33,0.75,0.33
610,Covariance,91,90,0.91,0.9
190,CurveFitter,96,100,0.96,1
546,CurveFitter,57,55,0.57,0.55
223,CycleCrossover,95,86,0.95,0.86
353,DBSCANClusterer,100,89,1,0.89
606,DBSCANClusterer,100,89,1,0.89
683,Decimal64,89,90,0.89,0.9
684,Decimal64Field,100,100,1,1
317,DefaultFieldMatrixChangingVisitor,83,0,0.83,0
318,DefaultFieldMatrixPreservingVisitor,83,0,0.83,0
319,DefaultIterativeLinearSolverEvent,89,71,0.89,0.71
186,DefaultMeasurementModel,75,100,0.75,1
187,DefaultProcessModel,75,100,0.75,1
320,DefaultRealMatrixChangingVisitor,75,0,0.75,0
321,DefaultRealMatrixPreservingVisitor,75,0,0.75,0
685,DefaultTransformer,92,75,0.92,0.75
201,DenseWeightedEvaluation,100,100,1,1
3,DerivativeStructure,100,86,1,0.86
619,DescriptiveStatistics,89,86,0.89,0.86
121,Dfp,93,95,0.93,0.95
122,DfpDec,81,83,0.81,0.83
123,DfpField,93,55,0.93,0.55
124,DfpMath,90,75,0.9,0.75
322,DiagonalMatrix,99,89,0.99,0.89
164,DimensionMismatchException,100,100,1,1
263,DiskGenerator,100,100,1,1
22,Divide,100,100,1,1
72,DividedDifferenceInterpolator,100,100,1,1
421,DormandPrince54FieldIntegrator,100,100,1,1
422,DormandPrince54FieldStepInterpolator,100,80,1,0.8
423,DormandPrince54Integrator,100,100,1,1
424,DormandPrince54StepInterpolator,100,97,1,0.97
425,DormandPrince853FieldIntegrator,100,93,1,0.93
426,DormandPrince853FieldStepInterpolator,100,90,1,0.9
427,DormandPrince853Integrator,100,98,1,0.98
428,DormandPrince853StepInterpolator,97,98,0.97,0.98
354,DoublePoint,86,50,0.86,0.5
2,DSCompiler,100,98,1,0.98
183,DummyLocalizable,0,0,0,0
458,DummyStepHandler,0,0,0,0
362,EarthMoversDistance,100,86,1,0.86
298,Edge,92,48,0.92,0.48
299,EdgesBuilder,98,79,0.98,0.79
323,EigenDecomposition,93,85,0.93,0.85
224,ElitisticListPopulation,100,79,1,0.79
429,EmbeddedRungeKuttaFieldIntegrator,97,70,0.97,0.7
430,EmbeddedRungeKuttaIntegrator,100,92,1,0.92
576,EmpiricalDistribution,90,79,0.9,0.79
237,EnclosingBall,100,91,1,0.91
133,EnumeratedDistribution,73,61,0.73,0.61
134,EnumeratedIntegerDistribution,100,89,1,0.89
135,EnumeratedRealDistribution,99,92,0.99,0.92
