Sr.No,Class Name,Line Coverage,Mutation Score,Line Coverage decimal,Mutation Score Decimal
571,SmallPrimes,90,67,0.9,0.67
380,SmoothedDataHistogram,0,0,0,0
85,SmoothingPolynomialBicubicSplineInterpolator,90,91,0.9,0.91
586,SobolSequenceGenerator,85,81,0.85,0.81
485,SolutionCallback,100,100,1,1
346,SparseFieldMatrix,45,31,0.45,0.31
347,SparseFieldVector,74,52,0.74,0.52
7,SparseGradient,98,89,0.98,0.89
613,SpearmansCorrelation,95,92,0.95,0.92
295,Sphere1D,100,100,1,1
302,Sphere2D,86,75,0.86,0.75
257,SphereGenerator,100,83,1,0.83
258,SphericalCoordinates,100,100,1,1
303,SphericalPolygonsSet,95,81,0.95,0.81
86,SplineInterpolator,100,99,1,0.99
47,Sqrt,75,67,0.75,0.67
587,StableRandomGenerator,78,33,0.78,0.33
634,StandardDeviation,76,56,0.76,0.56
621,StatisticalSummaryValues,100,61,1,0.61
604,StatUtils,87,81,0.87,0.81
48,StepFunction,100,92,1,0.92
461,StepNormalizer,92,79,0.92,0.79
462,StepNormalizerBounds,100,100,1,1
614,StorelessBivariateCovariance,87,89,0.87,0.89
615,StorelessCovariance,75,75,0.75,0.75
304,SubCircle,100,80,1,0.8
288,SubHyperplane,100,100,1,1
296,SubLimitAngle,100,67,1,0.67
259,SubLine,93,100,0.93,1
269,SubLine,96,89,0.96,0.89
243,SubOrientedPoint,91,70,0.91,0.7
260,SubPlane,100,80,1,0.8
49,Subtract,0,0,0,0
645,Sum,89,81,0.89,0.81
622,SummaryStatistics,86,54,0.86,0.54
359,SumOfClusterVariances,100,100,1,1
646,SumOfLogs,90,76,0.9,0.76
647,SumOfSquares,90,79,0.9,0.79
66,SymmetricGaussIntegrator,100,90,1,0.9
348,SymmLQ,92,74,0.92,0.74
623,SynchronizedDescriptiveStatistics,88,76,0.88,0.76
624,SynchronizedMultivariateSummaryStatistics,100,100,1,1
588,SynchronizedRandomGenerator,67,73,0.67,0.73
625,SynchronizedSummaryStatistics,51,56,0.51,0.56
50,Tan,50,0,0.5,0
51,Tanh,50,0,0.5,0
508,Target,100,100,1,1
532,Target,100,100,1,1
156,TDistribution,100,90,1,0.9
655,TestUtils,77,78,0.77,0.78
635,ThirdMoment,100,90,1,0.9
453,ThreeEighthesFieldIntegrator,100,100,1,1
454,ThreeEighthesFieldStepInterpolator,100,100,1,1
455,ThreeEighthesStepInterpolator,100,100,1,1
180,TooManyEvaluationsException,100,0,1,0
181,TooManyIterationsException,100,0,1,0
381,TopographicErrorHistogram,0,0,0,0
234,TournamentSelection,70,70,0.7,0.7
406,Transformer,100,89,1,0.89
704,TransformerMap,76,62,0.76,0.62
674,TransformUtils,73,81,0.73,0.81
59,TrapezoidIntegrator,86,82,0.86,0.82
157,TriangularDistribution,95,88,0.95,0.88
87,TricubicInterpolatingFunction,91,89,0.91,0.89
88,TricubicInterpolator,93,71,0.93,0.71
89,TricubicSplineInterpolatingFunction,93,90,0.93,0.9
90,TricubicSplineInterpolator,99,60,0.99,0.6
349,TriDiagonalTransformer,99,97,0.99,0.97
654,TTest,95,79,0.95,0.79
52,Ulp,100,0,1,0
589,UncorrelatedRandomVectorGenerator,94,100,0.94,1
382,UnifiedDistanceMatrix,0,0,0,0
235,UniformCrossover,96,93,0.96,0.93
158,UniformIntegerDistribution,97,91,0.97,0.91
590,UniformRandomGenerator,100,100,1,1
159,UniformRealDistribution,86,91,0.86,0.91
591,UnitSphereRandomVectorGenerator,100,100,1,1
567,UnivariateMultiStartOptimizer,86,79,0.86,0.79
518,UnivariateObjectiveFunction,100,100,1,1
519,UnivariateOptimizer,100,100,1,1
91,UnivariatePeriodicInterpolator,100,86,1,0.86
520,UnivariatePointValuePair,100,100,1,1
568,UnivariatePointValuePair,100,100,1,1
113,UnivariateSolverUtils,72,55,0.72,0.55
401,UnknownParameterException,100,100,1,1
592,ValueServer,92,82,0.92,0.82
636,Variance,91,73,0.91,0.73
244,Vector1D,96,91,0.96,0.91
245,Vector1DFormat,83,100,0.83,1
270,Vector2D,51,28,0.51,0.28
271,Vector2DFormat,78,88,0.78,0.88
261,Vector3D,100,91,1,0.91
262,Vector3DFormat,83,100,0.83,1
236,VectorFormat,74,75,0.74,0.75
637,VectorialCovariance,75,62,0.75,0.62
638,VectorialMean,74,68,0.74,0.68
305,Vertex,96,63,0.96,0.63
160,WeibullDistribution,90,86,0.9,0.86
509,Weight,40,50,0.4,0.5
533,Weight,40,50,0.4,0.5
198,WeightedObservedPoint,100,100,1,1
550,WeightedObservedPoint,100,100,1,1
199,WeightedObservedPoints,100,100,1,1
593,Well1024a,91,100,0.91,1
594,Well19937a,92,100,0.92,1
595,Well19937c,100,100,1,1
596,Well44497a,85,100,0.85,1
597,Well44497b,93,100,0.93,1
598,Well512a,81,100,0.81,1
238,WelzlEncloser,98,82,0.98,0.82
656,WilcoxonSignedRankTest,92,89,0.92,0.89
662,WilsonScoreInterval,100,100,1,1
161,ZipfDistribution,95,76,0.95,0.76
