Sr.No,Class Name,Line Coverage,Branch Coverage,Branch Missed,Branch Missed+Covered,BranchCoveragePercentageDecimal,BranchCoveragePercentage
436,PolynomialSplineFunction,37,19,11,30,0.6333333,63.333332
437,PolynomialsUtils,72,20,0,20,1,100
133,Pow,2,0,0,0,0,0
335,PowellOptimizer,85,29,3,32,0.90625,90.625
636,PowellOptimizer,89,32,4,36,0.8888889,88.88889
115,Power,5,0,0,0,0,0
38,Precision,116,98,33,131,0.7480916,74.80916
307,PreconditionedIterativeLinearSolver,21,6,0,6,1,100
504,Primes,29,26,0,26,1,100
430,Product,34,6,2,8,0.75,75
447,ProperBigFractionFormat,58,23,4,27,0.8518519,85.18519
450,ProperFractionFormat,54,15,4,19,0.7894737,78.94737
537,PropertiesComputer,41,13,3,16,0.8125,81.25
142,PSquarePercentile,77,48,0,48,1,100
315,QRDecomposition,77,42,0,42,1,100
347,QuantizationError,0,0,8,8,0,0
2,QuasiSigmoidDecayFunction,18,6,0,6,1,100
542,Quaternion,97,26,6,32,0.8125,81.25
564,RandomAdaptor,16,2,4,6,0.33333334,33.333336
552,RandomDataGenerator,137,53,17,70,0.75714284,75.71429
567,RandomDataImpl,5,0,0,0,0,0
569,RandomGeneratorFactory,1,0,2,2,0,0
459,RandomKey,63,29,3,32,0.90625,90.625
464,RandomKeyMutation,8,1,1,2,0.5,50
51,RandomPivotingStrategy,3,0,0,0,0,0
278,RealLinearOperator,1,0,0,0,0,0
311,RealMatrixFormat,95,41,3,44,0.9318182,93.181816
312,RealVector,210,82,0,82,1,100
302,RealVectorFormat,58,22,0,22,1,100
284,RectangularCholeskyDecomposition,54,26,2,28,0.9285714,92.85714
605,RegionFactory,66,32,3,35,0.9142857,91.42857
10,RegressionResults,53,30,28,58,0.51724136,51.724136
23,Relationship,11,3,0,3,1,100
222,Relationship,11,3,0,3,1,100
32,ResizableDoubleArray,216,78,11,89,0.8764045,87.64045
669,RiddersSolver,46,12,4,16,0.75,75
107,Rint,2,0,0,0,0,0
210,RombergIntegrator,31,8,4,12,0.6666667,66.66667
545,RootsOfUnity,40,19,5,24,0.7916667,79.16667
492,Rotation,486,187,3,190,0.98421055,98.42106
486,RotationOrder,22,0,0,0,0,0
282,RRQRDecomposition,47,18,2,20,0.9,90
237,RungeKuttaFieldIntegrator,73,39,1,40,0.975,97.5
264,RungeKuttaFieldStepInterpolator,14,6,0,6,1,100
243,RungeKuttaIntegrator,82,43,1,44,0.97727275,97.72727
233,RungeKuttaStepInterpolator,49,23,7,30,0.76666665,76.666664
581,S1Point,24,8,2,10,0.8,80
534,S2Point,42,16,4,20,0.8,80
362,SaddlePointExpansion,41,15,1,16,0.9375,93.75
